player_name,equipe,positions,cluster,UMAP_1,UMAP_2,UMAP_3
Gabriel Gudmundsson,Lille,DF,8,17.91485,7.982413,2.9936872
Félix Lemaréchal,Strasbourg,"MF,FW",4,19.543243,6.832656,2.854053
Pablo Rosario,Nice,"MF,DF",6,18.061842,8.027606,4.776556
Jordan Ferri,Montpellier,MF,1,15.754446,6.7856565,4.6793714
Benjamin Bouchouari,Saint,MF,1,17.644413,6.5507283,4.2024064
Hákon Arnar Haraldsson,Lille,"MF,FW",9,17.973957,6.317263,1.710673
Jim Allevinah,Angers,FW,3,20.450392,6.985631,1.4618572
Eliesse Ben Seghir,Monaco,"MF,FW",0,17.984337,5.2610364,1.2795653
Aïssa Mandi,Lille,DF,2,15.129607,7.5471096,4.477451
Ousmane Dembélé,Paris S,FW,0,18.41604,4.741887,1.5697004
Désiré Doué,Paris S,"FW,MF",0,18.714293,4.917957,1.5614351
Marquinhos,Paris S,DF,2,13.738581,7.3064246,4.5365577
Abdoulaye Niakhate Ndiaye,Brest,DF,5,15.327252,9.914115,4.903159
Joseph Okumu,Reims,DF,2,13.5470085,8.742911,4.267839
Marshall Munetsi,Reims,MF,3,21.258862,7.9745555,2.9008584
Rabby Nzingoula,Montpellier,MF,6,18.95028,7.750081,4.6825686
Hans Hateboer,Rennes,DF,2,15.63578,7.895831,4.366767
Massadio Haïdara,Brest,DF,7,17.884172,9.185881,3.0321233
Nuno Mendes,Paris S,DF,1,15.743077,5.8466907,3.2797036
Joshua King,Toulouse,"FW,MF",3,21.4326,7.707943,1.3134692
Lee Kang-in,Paris S,"FW,MF",0,17.385283,5.914189,1.663949
Gabriel Osho,Auxerre,DF,5,14.508131,10.215211,5.646326
Esteban Lepaul,Angers,FW,3,21.778906,8.240558,1.8581947
Oumar Diakité,Reims,FW,3,21.650723,7.4045587,1.8526328
Mohamed Ali Cho,Nice,"FW,MF",0,19.722937,5.637597,1.4506191
Quentin Merlin,Marseille,DF,9,17.271929,7.0231743,2.255121
Malick Fofana,Lyon,FW,0,19.468739,5.0658317,1.7008245
Neil El Aynaoui,Lens,MF,1,17.119776,7.0142283,3.5767715
Duje Ćaleta-Car,Lyon,DF,2,14.048974,9.387708,5.4038806
Mathias Pereira Lage,Brest,"FW,MF",0,18.815203,6.643642,0.85797906
Valentin Rongier,Marseille,"MF,DF",1,15.241912,6.330947,3.8241603
Jordan Veretout,Lyon,MF,1,16.583492,7.097363,4.423169
Pierre Lees-Melou,Brest,MF,1,16.352856,6.5183883,4.8885145
Yassin Belkhdim,Angers,MF,6,18.646614,8.094004,5.1394253
Frank Magri,Toulouse,"FW,MF",3,22.165077,7.8839045,1.9461006
Nathan Zeze,Nantes,DF,5,15.107839,9.412699,5.2707405
Abdoulaye Bamba,Angers,DF,5,14.664917,10.135939,6.0015197
Christian Mawissa,Monaco,DF,7,16.17784,9.144898,4.6520505
Tanguy Coulibaly,Montpellier,"FW,MF",3,21.011919,6.729893,1.7357128
M'Bala Nzola,Lens,FW,3,21.857073,8.035678,1.2607381
Kévin Danois,Auxerre,MF,1,17.881317,6.382774,4.594064
Christopher Wooh,Rennes,DF,5,14.410801,10.390411,4.2055078
André Ayew,Le Havre,FW,3,22.104908,8.239728,2.2922149
Georges Mikautadze,Lyon,FW,3,20.568895,8.271938,0.54241925
Derek Cornelius,Marseille,DF,2,13.387298,8.267986,4.5994763
Anass Zaroury,Lens,"FW,MF",9,17.433424,6.934426,1.4407243
Ali Abdi,Nice,"DF,MF",8,17.799416,8.019411,2.6655166
Przemysław Frankowski,Lens,DF,9,16.619627,6.9277034,2.33742
Malang Sarr,Lens,DF,2,13.678877,8.844595,4.346869
Julien Le Cardinal,Brest,DF,5,14.511627,10.651084,4.538097
Emmanuel Biumla,Angers,DF,5,14.746077,10.356511,6.01863
Kamory Doumbia,Brest,"MF,FW",1,17.675507,6.6766725,4.6287465
Sorba Thomas,Nantes,"FW,MF",9,17.616802,7.134855,1.5927743
Lilian Raolisoa,Angers,"DF,FW",8,17.971825,7.431621,1.9461564
Amadou Koné,Reims,MF,6,17.426899,7.5315537,5.546176
Osame Sahraoui,Lille,"FW,MF",0,19.196964,5.3124814,2.092537
André Gomes,Lille,MF,1,16.30733,6.4392257,4.192038
Emmanuel Agbadou,Reims,DF,2,14.274659,8.302039,4.077468
Romain Del Castillo,Brest,FW,9,17.662853,6.4174795,1.0797696
Mostafa Mohamed,Nantes,FW,3,22.098494,7.8846126,1.4033651
Florian Tardieu,Saint,MF,1,15.686577,6.0954027,3.9455056
Arouna Sangante,Le Havre,DF,2,14.633533,8.67896,4.946924
Abdallah Sima,Brest,"FW,MF",3,21.26507,7.602239,1.7210778
Tanner Tessmann,Lyon,MF,6,16.371012,7.4199605,5.199003
Lilian Brassier,Rennes,DF,2,13.729384,8.02789,4.8389373
Falaye Sacko,Montpellier,DF,7,16.926239,9.748762,4.352524
Mika Biereth,Monaco,FW,3,20.805607,8.583625,0.7933848
Leo Skiri Østigård,Rennes,DF,5,14.657559,9.084573,5.2420793
Ngal'Ayel Mukau,Lille,MF,6,17.909061,7.5200806,4.619582
Shavy Babicka,Toulouse,"MF,FW",0,20.498817,6.670894,1.248038
Jordan James,Rennes,MF,1,17.056108,6.7640905,3.865327
Christopher Operi,Le Havre,"DF,FW",9,17.05397,7.326497,1.8326077
Arnaud Nordin,Montpellier,FW,0,20.15138,5.9629145,1.7896382
Nhoa Sangui,Reims,"DF,MF",7,18.286943,8.80303,4.1554046
Valentín Barco,Strasbourg,"MF,DF",7,16.518204,8.196784,3.6338487
Issiaga Sylla,Montpellier,DF,7,18.188332,9.521249,3.3081443
Aleksandr Golovin,Monaco,"MF,FW",1,18.304184,6.0209656,4.3465414
Ayyoub Bouaddi,Lille,MF,6,18.512897,7.4303446,5.2914658
Mama Samba Baldé,Brest,FW,3,21.364695,7.1059093,1.2803981
Mitchel Bakker,Lille,"FW,DF",9,17.790436,6.735074,1.5408403
Tanguy Ndombele,Nice,MF,1,18.412176,6.5533047,4.3114552
Mory Gbane,Reims,"DF,MF",5,15.677,9.293782,5.5108247
Ruben Aguilar,Lens,"DF,MF",8,16.458221,7.9766526,2.2877133
