player_name,equipe,positions,cluster,tsne_1,tsne_2,tsne_3,tsne_4
Nicolás Tagliafico,Lyon,DF,2,-0.663833316682818,0.9847957758941419,-0.2154030153030385,0.5381810899393227
Zakaria Aboukhlal,Toulouse,"MF,FW",7,1.6390583217845922,-1.7427109678980575,-0.14883528090376563,1.1497729915342052
Enzo Tchato,Montpellier,DF,3,-0.8093740705034447,-0.45288023500566577,0.47079471075456575,-0.09369267393496442
Farid El Melali,Angers,FW,4,0.8019462841562873,-1.7264677015465573,-1.6341975997825917,0.8812306294622282
Joris Chotard,Montpellier,MF,6,0.04075139129397268,0.042251982346368414,0.6430209822969186,-0.5792873287645883
Lucas Stassin,Saint,FW,7,1.7692610699715519,-1.3277480349705122,-0.263251416153906,0.5801855722383215
João Neves,Paris S,"MF,DF",2,-0.37837648466905804,1.392088771166695,-1.416466111250752,0.2634666728575556
Breel Embolo,Monaco,"FW,MF",7,1.6724280103540485,-1.2948457970205334,-0.16101247105988756,1.425764876835537
Gaëtan Laborde,Nice,FW,7,2.158037272613216,-1.619449461864623,-0.6185397164638736,1.1509914756596598
Deiver Machado,Lens,"DF,MF",3,-0.45156721706062186,-0.6105744214194941,-0.11357193446475693,0.5234210523218614
Becir Omeragic,Montpellier,DF,0,-0.34527883713904556,0.7447356322479202,1.1057570866842827,-1.4155523383418116
Florian Sotoca,Lens,"FW,MF",1,0.6478004921012146,-0.3148620602225025,-0.08662165657104073,1.1377125985205772
Haris Belkebla,Angers,MF,6,0.0510842501062425,0.3339654653960345,0.9858623270812952,-0.1397909880787974
Gabriel Gudmundsson,Lille,DF,3,-0.45165467246263313,-0.1763224367821032,-0.3296274138233663,0.4046291947524925
Félix Lemaréchal,Strasbourg,"MF,FW",1,0.7277942495672642,-0.4201260847229129,-0.09534219381275197,0.6104171650664606
Pablo Rosario,Nice,"MF,DF",6,0.7364947631314168,0.18728000737233108,0.5541316347504607,-0.3247022585051185
Jordan Ferri,Montpellier,MF,2,-0.09689238348180554,0.5991137794278111,-0.6504222843512261,-0.6041912642928654
Benjamin Bouchouari,Saint,MF,1,0.12969597742192565,0.15739865935874398,-0.26286705420719686,-0.518862945351557
Hákon Arnar Haraldsson,Lille,"MF,FW",4,0.3163311755065599,-0.5278744932035724,-1.432453219220057,0.5507865100356572
Jim Allevinah,Angers,FW,7,1.0060660797504144,-1.4601446931143347,-0.016976345923022714,1.01356782706042
Eliesse Ben Seghir,Monaco,"MF,FW",4,0.5073009299857189,-0.33280589631812757,-1.6386077819038734,1.095891977957687
Aïssa Mandi,Lille,DF,2,-0.4313606485475957,1.1387870203414858,-0.15045519368015045,-0.6276114629362705
Ousmane Dembélé,Paris S,FW,4,0.7776662241613878,-0.46782400628618326,-2.259518765029247,1.4809673136878536
Désiré Doué,Paris S,"FW,MF",4,0.9669392052254939,-0.11829920344116815,-1.9536994416690805,1.5027455606658242
