player_name,positions,equipe,cluster,tsne_1,tsne_2,tsne_3,tsne_4
Ernest Nuamah,"FW,MF",Lyon,1,1.0712696,-1.7412738,-0.98022264,2.0914457
Amine Gouiri,"FW,MF",Marseille,3,2.4981406,-2.0109572,-3.1597505,0.89134926
Han-Noah Massengo,MF,Auxerre,0,1.8530167,0.27952158,2.1311834,-1.2624087
Angelo Fulgini,"MF,FW",Lens,1,0.4661983,-0.6122546,-2.5704246,2.4939852
Louis Mouton,MF,Saint,0,1.0367776,1.2374294,0.46698347,1.5380994
Neal Maupay,FW,Marseille,1,4.305558,-2.2983801,-0.4654215,1.1203672
Aimen Moueffek,MF,Saint,0,0.9270968,-0.97155607,0.4497602,-0.38851482
Yunis Abdelhamid,DF,Saint,4,-0.81472135,0.38039985,2.5187998,-3.2517557
Khalil Fayad,"MF,FW",Montpellier,0,0.6311238,-0.99914724,-0.4095532,-1.7577944
Soungoutou Magassa,MF,Monaco,0,0.09299755,2.5111916,0.5990905,1.2048835
Mohammed Salisu,DF,Monaco,4,-2.5788438,3.3167427,0.83961314,-1.1990956
Warren Kamanzi,"DF,MF",Toulouse,0,-0.07599116,-0.42293343,0.37130725,1.5639918
Saidou Sow,DF,Strasbourg,4,-2.0855596,2.3025093,1.1569611,-3.6353748
Théo Sainte-Luce,DF,Montpellier,0,-0.63754314,-1.7978456,1.2531579,-0.5193596
Rémy Cabella,"FW,MF",Lille,1,0.028133787,0.41872135,-2.3575933,2.6618445
Paul Joly,DF,Auxerre,3,-3.0383587,0.106513225,0.5797124,1.1917129
Oussama Targhalline,MF,Le Havre,0,0.6311748,-1.0104082,0.84586436,-1.7656062
Edon Zhegrova,"FW,MF",Lille,1,0.8525562,-2.0038016,-3.030918,2.4161816
Yanis Zouaoui,"DF,FW",Le Havre,3,-1.2225245,-1.0243366,-3.1169665,0.4893752
Abdukodir Khusanov,DF,Lens,4,0.08249975,2.3272913,0.75388604,-3.4101841
Anthony Rouault,DF,Rennes,4,-2.3292677,2.7265997,0.7556721,-2.4542265
Ado Onaiwu,"MF,FW",Auxerre,1,3.340514,-2.8366988,-0.1647976,1.3894565
Junior Mwanga,MF,Le Havre,0,1.1322018,0.10296366,-0.45460132,-0.39061856
Thiago Almada,"MF,FW",Lyon,1,0.8525348,0.46897218,-3.8259525,2.033711
Sael Kumbedi,DF,Lyon,0,-0.4861802,-0.2275245,0.25477135,0.6889868
Marcus Coco,DF,Nantes,0,-1.8896066,-0.8494255,1.5298084,0.4990919
Abakar Sylla,DF,Strasbourg,4,-0.6978445,3.1802888,2.7912438,-2.7053902
Yael Mouanga,DF,Montpellier,4,-0.6498844,1.1354719,1.551868,-3.7798996
Antoine Joujou,"MF,FW",Le Havre,1,0.61433077,-2.8131917,-0.7278443,2.6549618
Ibrahima Niane,FW,Angers,1,3.8411212,-4.1850405,0.013312862,3.6209464
Theo Bair,FW,Auxerre,1,3.859166,-4.063718,1.0311927,2.0022917
Ulisses Garcia,DF,Marseille,3,-0.6718777,1.7465789,-1.4339671,2.1330042
Jérémy Jacquet,DF,Rennes,0,-0.56998676,2.05753,1.3428969,-0.7595555
Baptiste Santamaria,MF,Nice,0,0.12061613,1.4840449,1.0019283,-0.21803352
Khvicha Kvaratskhelia,FW,Paris S,1,2.0576022,-0.58004594,-3.2847984,3.6422036
Wesley Saïd,FW,Lens,1,2.8182452,-2.5117857,0.49061003,2.03294
Ismaily,DF,Lille,3,-1.7980647,1.3200951,-0.71838045,1.2153927
Romain Faivre,"MF,FW",Brest,1,1.6966516,-1.8880217,-2.2882407,2.0928123
Hiroki Sekine,DF,Reims,0,-1.2902669,-1.3518347,-0.10936312,-1.5576566
Goduine Koyalipou,FW,Lens,1,3.87324,-2.558246,0.7199395,2.91701
Matvei Safonov,GK,Paris S,2,-4.1193314,0.23680992,2.361919,-5.925876
Lucas Hernández,DF,Paris S,4,-2.394046,4.170587,-1.0366848,-1.3985481
