player_name,positions,equipe,cluster,UMAP_1,UMAP_2,UMAP_3,age
Sorba Thomas,"FW,MF",Nantes,4,17.616802,7.134855,1.5927743,24.0
Lilian Raolisoa,"DF,FW",Angers,4,17.971825,7.431621,1.9461564,24.0
Amadou Koné,MF,Reims,1,17.426899,7.5315537,5.546176,19.0
Osame Sahraoui,"FW,MF",Lille,4,19.196964,5.3124814,2.092537,23.0
André Gomes,MF,Lille,2,16.30733,6.4392257,4.192038,31.0
Emmanuel Agbadou,DF,Reims,3,14.274659,8.302039,4.077468,27.0
Romain Del Castillo,FW,Brest,0,17.662853,6.4174795,1.0797696,28.0
Mostafa Mohamed,FW,Nantes,0,22.098494,7.8846126,1.4033651,26.0
Florian Tardieu,MF,Saint,2,15.686577,6.0954027,3.9455056,32.0
Arouna Sangante,DF,Le Havre,1,14.633533,8.67896,4.946924,22.0
Abdallah Sima,"FW,MF",Brest,4,21.26507,7.602239,1.7210778,23.0
Tanner Tessmann,MF,Lyon,1,16.371012,7.4199605,5.199003,22.0
Lilian Brassier,DF,Rennes,3,13.729384,8.02789,4.8389373,24.0
Falaye Sacko,DF,Montpellier,2,16.926239,9.748762,4.352524,29.0
Mika Biereth,FW,Monaco,4,20.805607,8.583625,0.7933848,21.0
Leo Skiri Østigård,DF,Rennes,3,14.657559,9.084573,5.2420793,24.0
Ngal'Ayel Mukau,MF,Lille,1,17.909061,7.5200806,4.619582,19.0
Shavy Babicka,"MF,FW",Toulouse,4,20.498817,6.670894,1.248038,24.0
Jordan James,MF,Rennes,1,17.056108,6.7640905,3.865327,20.0
Christopher Operi,"DF,FW",Le Havre,0,17.05397,7.326497,1.8326077,27.0
Arnaud Nordin,FW,Montpellier,0,20.15138,5.9629145,1.7896382,26.0
Nhoa Sangui,"DF,MF",Reims,1,18.286943,8.80303,4.1554046,18.0
Valentín Barco,"MF,DF",Strasbourg,1,16.518204,8.196784,3.6338487,20.0
Issiaga Sylla,DF,Montpellier,2,18.188332,9.521249,3.3081443,30.0
Aleksandr Golovin,"MF,FW",Monaco,0,18.304184,6.0209656,4.3465414,28.0
Ayyoub Bouaddi,MF,Lille,1,18.512897,7.4303446,5.2914658,16.0
Mama Samba Baldé,FW,Brest,0,21.364695,7.1059093,1.2803981,28.0
Mitchel Bakker,"FW,DF",Lille,4,17.790436,6.735074,1.5408403,24.0
Tanguy Ndombele,MF,Nice,0,18.412176,6.5533047,4.3114552,27.0
Mory Gbane,"DF,MF",Reims,1,15.677,9.293782,5.5108247,23.0
Ruben Aguilar,"DF,MF",Lens,2,16.458221,7.9766526,2.2877133,31.0
Djaoui Cissé,MF,Rennes,1,16.63697,6.749916,5.144068,20.0
Wahbi Khazri,"FW,MF",Montpellier,2,19.368319,6.8518357,1.5189241,33.0
Musa Al-Taamari,"FW,MF",Montpellier,0,20.039356,5.6967607,1.0917217,27.0
Timothee Pembele,DF,Le Havre,1,18.134317,9.179407,4.2184715,21.0
Jaydee Canvot,"DF,MF",Toulouse,1,16.522882,8.741642,5.160586,18.0
Edimilson Fernandes,"MF,DF",Brest,3,16.278515,8.489505,5.519742,28.0
Badredine Bouanani,"MF,FW",Nice,4,19.075798,5.6498313,1.140733,19.0
Abner,DF,Lyon,3,16.910755,8.091913,2.8688793,24.0
Kevin Danso,DF,Lens,3,13.918962,8.658473,5.0082994,25.0
Akor Adams,FW,Montpellier,4,21.724533,8.09774,0.98351896,24.0
Gonçalo Ramos,FW,Paris S,4,20.925858,8.52279,0.41070816,23.0
Matias Fernandez-Pardo,"FW,MF",Lille,4,19.776382,6.141581,0.6000318,19.0
Sofiane Diop,"MF,FW",Nice,4,18.19779,5.7215877,1.019114,24.0
Irvin Cardona,FW,Saint,0,20.120695,7.3520575,1.9928396,26.0
Rassoul Ndiaye,MF,Le Havre,1,19.114496,7.3878355,4.9429955,22.0
Jeremie Boga,"MF,FW",Nice,0,19.61357,5.1387315,1.5661865,27.0
Ernest Nuamah,"FW,MF",Lyon,4,19.750036,6.1927166,2.3061037,20.0
Amine Gouiri,"FW,MF",Marseille,4,19.125767,6.659216,1.2737834,24.0
Han-Noah Massengo,MF,Auxerre,1,17.67273,8.000066,5.4341054,23.0
Angelo Fulgini,"MF,FW",Lens,0,17.595,5.9071026,1.5250705,27.0
Louis Mouton,MF,Saint,1,18.052353,6.3143425,4.8627315,22.0
Neal Maupay,FW,Marseille,0,20.557638,7.450023,1.6646675,27.0
Aimen Moueffek,MF,Saint,4,18.818941,7.6521053,4.2570114,23.0
Yunis Abdelhamid,DF,Saint,2,14.334057,9.832359,5.7793193,36.0
Khalil Fayad,"MF,FW",Montpellier,1,18.16097,7.495141,4.5369534,20.0
Soungoutou Magassa,MF,Monaco,1,17.288193,6.5154977,5.140788,20.0
Mohammed Salisu,DF,Monaco,3,14.157932,7.826667,4.661262,25.0
Warren Kamanzi,"DF,MF",Toulouse,4,18.631075,7.8570824,3.6916332,23.0
Saidou Sow,DF,Strasbourg,1,13.9393015,9.569364,5.215251,22.0
Théo Sainte-Luce,DF,Montpellier,3,18.60334,9.44689,3.9686632,25.0
Rémy Cabella,"FW,MF",Lille,2,17.929998,5.4685845,1.6612368,34.0
Paul Joly,DF,Auxerre,3,16.73487,8.804964,2.4799058,24.0
Oussama Targhalline,MF,Le Havre,1,17.523338,8.455389,5.415017,22.0
