player_name,equipe,positions,tsne_1,tsne_2,tsne_3,tsne_4,cluster
Lilian Raolisoa,Angers,"DF,FW",-1.5500396,-0.96812606,2.258903,-0.44630006,-1
Amadou Koné,Reims,MF,1.3347604,-0.10628529,-2.0638924,1.5740876,-1
Osame Sahraoui,Lille,"FW,MF",-0.48635882,0.9271579,0.18694167,-3.639968,3
André Gomes,Lille,MF,-0.066955104,2.4124522,-0.7618364,1.3331757,0
Emmanuel Agbadou,Reims,DF,0.44168463,2.80242,-1.0912389,3.9495265,-1
Romain Del Castillo,Brest,FW,0.26447102,0.9127111,3.0161479,-2.520203,-1
Mostafa Mohamed,Nantes,FW,1.7274055,-2.995775,-0.20079271,-4.1199384,1
Florian Tardieu,Saint,MF,-0.21193126,2.4620223,-1.9826105,1.7758788,-1
Arouna Sangante,Le Havre,DF,-2.0018077,1.3601073,-0.7805338,4.9364853,-1
Abdallah Sima,Brest,"FW,MF",1.9866697,-2.242781,0.09639786,-3.7076006,1
Tanner Tessmann,Lyon,MF,1.1249999,1.6994495,-0.73110044,1.6728402,0
Lilian Brassier,Rennes,DF,-0.1443854,2.689708,-0.60253733,4.051038,0
Falaye Sacko,Montpellier,DF,-0.60847986,-1.782423,0.8812284,2.5408173,2
Mika Biereth,Monaco,FW,2.5226798,-0.9380041,-0.5872887,-5.4928136,-1
Leo Skiri Østigård,Rennes,DF,-0.39181384,1.0716336,0.16261251,4.4354806,0
Ngal'Ayel Mukau,Lille,MF,0.5610792,0.20635968,-1.4762042,0.6507516,0
Shavy Babicka,Toulouse,"MF,FW",0.8899331,-1.5801557,0.4628561,-3.9653883,1
Jordan James,Rennes,MF,-0.37507015,0.60757715,-1.6343849,0.24226023,-1
Christopher Operi,Le Havre,"DF,FW",-0.3749764,1.2070378,2.905866,-0.5564845,-1
Arnaud Nordin,Montpellier,FW,0.23045479,-1.8706079,0.7432293,-3.0580525,-1
Nhoa Sangui,Reims,"DF,MF",-1.0821319,-1.2437621,-0.38908425,1.1895226,2
Valentín Barco,Strasbourg,"MF,DF",-1.6381453,0.8324907,-0.41789785,1.5317936,-1
Issiaga Sylla,Montpellier,DF,-1.1918482,-1.4816144,1.5696955,0.910106,2
Aleksandr Golovin,Monaco,"MF,FW",-0.49928856,0.93467724,-1.4470079,-1.6321044,-1
Ayyoub Bouaddi,Lille,MF,0.6265393,-0.28262758,-1.958994,0.5662138,0
Mama Samba Baldé,Brest,FW,0.6155827,-2.4170277,0.057605285,-4.2325068,1
Mitchel Bakker,Lille,"FW,DF",-0.054826383,0.9877127,1.4683955,-1.915894,3
Tanguy Ndombele,Nice,MF,0.75170106,0.24697167,-1.163589,-0.83152795,0
Mory Gbane,Reims,"DF,MF",0.41073948,-0.1412475,-0.6920512,3.7185109,0
Ruben Aguilar,Lens,"DF,MF",-2.0517564,1.7028017,0.71462184,0.34018946,-1
Djaoui Cissé,Rennes,MF,1.1661669,2.072625,-1.1021403,1.0913756,-1
Wahbi Khazri,Montpellier,"FW,MF",-0.0035488936,-2.5755305,1.4435227,-2.1532838,-1
Musa Al-Taamari,Montpellier,"FW,MF",-0.35900828,-1.1444362,0.5479749,-4.1560717,-1
Timothee Pembele,Le Havre,DF,-0.65582746,-1.8207994,0.48385158,1.1750456,2
Jaydee Canvot,Toulouse,"DF,MF",0.2984646,0.02271137,-0.6550152,3.214086,0
Edimilson Fernandes,Brest,"MF,DF",0.6521826,-0.31967327,-0.8315507,3.3051798,0
Badredine Bouanani,Nice,"MF,FW",0.3785857,0.4649955,0.71009177,-3.605746,3
Abner,Lyon,DF,-1.5218651,0.8304545,0.43978357,0.21502051,-1
Kevin Danso,Lens,DF,-0.14870891,2.3493254,0.6034631,4.4033365,0
Akor Adams,Montpellier,FW,1.2669605,-3.391395,0.090308316,-5.0210333,1
Gonçalo Ramos,Paris S,FW,2.1189647,-1.5426422,-0.95224386,-5.9935575,-1
Matias Fernandez-Pardo,Lille,"FW,MF",0.58683753,-0.4602225,1.0982105,-4.680392,-1
Sofiane Diop,Nice,"MF,FW",1.139283,1.522512,0.8851197,-2.849329,-1
Irvin Cardona,Saint,FW,2.2698371,-1.508369,0.5405205,-3.394297,1
Rassoul Ndiaye,Le Havre,MF,0.6524713,-1.8551283,-0.15828153,0.21855378,0
Jeremie Boga,Nice,"MF,FW",-0.86359227,-0.13577919,0.37251684,-3.8008127,-1
Ernest Nuamah,Lyon,"FW,MF",-0.41389975,-0.5118948,0.28423914,-2.4917896,-1
Amine Gouiri,Marseille,"FW,MF",1.9192475,0.5050742,1.6482049,-3.2615108,-1
Han-Noah Massengo,Auxerre,MF,2.2980087,-1.0618644,-0.71144074,1.4123243,-1
Angelo Fulgini,Lens,"MF,FW",-0.4125321,1.582199,0.8156202,-2.568554,3
Louis Mouton,Saint,MF,0.11250172,0.3695677,-2.2813056,-0.39940858,-1
Neal Maupay,Marseille,FW,2.8916273,-1.4263881,-0.24417496,-3.571803,1
Aimen Moueffek,Saint,MF,-0.06759371,-1.2240149,-1.0968978,-0.099907115,0
Yunis Abdelhamid,Saint,DF,0.5580697,-1.1146824,-0.4184751,4.993138,0
Khalil Fayad,Montpellier,"MF,FW",-0.788202,-1.6720052,-1.8563062,-0.07749916,-1
Soungoutou Magassa,Monaco,MF,0.80105466,1.7707683,-2.4919522,0.24070777,-1
Mohammed Salisu,Monaco,DF,-1.3103015,2.346811,0.76653147,4.0887766,-1
Warren Kamanzi,Toulouse,"DF,MF",-1.3560348,-0.14384094,-0.43187162,-0.6102286,-1
Saidou Sow,Strasbourg,DF,0.0040498194,1.1781263,-0.59839535,5.7065783,0
Théo Sainte-Luce,Montpellier,DF,-0.2063482,-1.9694226,0.75125426,0.9314125,2
Rémy Cabella,Lille,"FW,MF",-0.04167107,2.1265185,-0.032879148,-1.8678904,3
Paul Joly,Auxerre,DF,-3.136888,0.23850976,1.1516956,1.3990434,-1
Oussama Targhalline,Le Havre,MF,-0.25985745,-1.5869406,-1.2319227,1.9069223,-1
Edon Zhegrova,Lille,"FW,MF",-0.25782225,0.7715202,1.8103796,-3.4879959,-1
Yanis Zouaoui,Le Havre,"DF,FW",-0.39918602,1.4149823,2.8139024,-0.6199004,-1
Abdukodir Khusanov,Lens,DF,1.4586719,0.8301593,-0.9592561,4.4080076,-1
Anthony Rouault,Rennes,DF,-0.44887212,2.0305095,0.016103158,4.829554,0
Ado Onaiwu,Auxerre,"MF,FW",1.8998917,-2.0628667,0.13980137,-3.2662227,1
Junior Mwanga,Le Havre,MF,-0.7784535,0.304177,-1.9873545,0.7491299,-1
Thiago Almada,Lyon,"MF,FW",-0.024096891,3.077418,0.9756835,-2.488847,-1
Sael Kumbedi,Lyon,DF,-0.9640545,-0.28830296,-0.15660153,0.27361962,2
Marcus Coco,Nantes,DF,-2.3911002,-1.1331248,0.28082937,1.4198612,2
Abakar Sylla,Strasbourg,DF,0.009927304,0.43795195,0.92660624,5.789523,0
Yael Mouanga,Montpellier,DF,0.4969234,-0.1908376,-1.4108387,4.7835617,0
Antoine Joujou,Le Havre,"MF,FW",-1.0341663,-1.4182187,0.7291654,-3.1234372,-1
Ibrahima Niane,Angers,FW,0.97422886,-2.8154707,-0.58510315,-5.5275865,1
Theo Bair,Auxerre,FW,1.9175597,-3.5893314,-0.6136084,-4.1235614,1
Ulisses Garcia,Marseille,DF,-1.6849821,1.8808018,-0.5244034,-0.81400234,-1
Jérémy Jacquet,Rennes,DF,0.2724867,0.9288761,0.34316948,2.6986823,0
Baptiste Santamaria,Nice,MF,0.27297407,0.49405634,-1.2222905,1.3706359,0
Khvicha Kvaratskhelia,Paris S,FW,-0.76885164,1.9955459,0.46385726,-4.3376727,3
Wesley Saïd,Lens,FW,1.0854018,-2.0952418,-0.73763776,-3.1209428,1
Ismaily,Lille,DF,-2.0772953,1.7609735,0.383167,0.69099694,-1
Romain Faivre,Brest,"MF,FW",0.4065302,0.22723262,0.96809,-3.2220252,3
Hiroki Sekine,Reims,DF,-1.4369417,-2.1020336,-0.16775738,2.0407,-1
Goduine Koyalipou,Lens,FW,1.3356806,-2.2440405,-1.6055188,-4.195834,-1
Lucas Hernández,Paris S,DF,-1.6290734,3.8524117,-0.44515306,3.5375931,-1
Mathis Amougou,Saint,MF,0.2154953,-1.7752753,-0.7613531,1.0774242,0
Mamadou Diakhon,Reims,"FW,MF",-0.9123058,-0.8800718,0.5570684,-4.383238,-1
Mohamed Abdelmoneim,Nice,DF,-0.4576941,1.3549467,0.50414014,3.676157,0
Koka,Le Havre,FW,2.749278,-2.7312546,-0.73975277,-4.9249067,1
Zinedine Ferhat,Angers,"FW,MF",-1.2265505,-0.7196711,2.6429348,-1.3566685,-1
Seko Fofana,Rennes,MF,-0.41619956,2.3650746,-1.1166227,0.027100224,-1
Antoine Mendy,Nice,DF,-1.87282,0.49783733,-0.534345,1.7499293,-1
Ibrahim Sissoko,Saint,FW,0.7962151,-3.4429536,-0.8491027,-4.4561434,1
Louis Leroux,Nantes,"MF,DF",1.5038848,-1.0504265,-0.95385695,-0.7492723,0
Albert Grønbaek,Rennes,"MF,FW",0.9583689,-0.8117774,2.4142222,-3.1520343,-1
Senny Mayulu,Paris S,MF,-0.41260263,1.7025735,-0.7470749,-3.2726886,-1
Jonathan Rowe,Marseille,"FW,MF",-0.027061354,0.5365806,0.007440725,-4.768876,-1
Alidu Seidu,Rennes,DF,-1.966391,0.7732523,-0.71534806,2.0739853,-1
Yoann Salmier,Le Havre,DF,0.19722478,-0.56357455,-0.8921585,4.694462,0
Yvann Macon,Saint,DF,-1.2781359,-1.741156,-0.5734782,0.40426576,-1
Jordan Amavi,Brest,DF,-1.8081774,-0.8531107,1.5773436,2.276977,2
Tom Louchet,Nice,"DF,MF",-2.751173,0.49535775,0.044645805,-0.6072055,-1
Sekou Mara,Strasbourg,"FW,MF",0.30478665,-3.2678664,-0.27269605,-3.308867,-1
Maxime Bernauer,Saint,DF,0.70261407,2.7018306,-1.3590201,5.1562023,-1
Boubakar Kouyaté,Montpellier,DF,0.31032994,-1.6596166,-0.15284197,4.807124,0
Teddy Teuma,Reims,MF,0.9714331,1.314371,2.1100225,0.3331474,-1
Angel Gomes,Lille,MF,0.9158052,-0.24604286,0.935624,-1.4475785,-1
Saïd Benrahma,Lyon,"FW,MF",-0.78938353,0.6722995,1.3525747,-3.6382043,3
Augustine Boakye,Saint,"FW,MF",1.3215808,-0.64961433,0.013761735,-3.2229614,1
Mathieu Cafaro,Saint,"MF,FW",-0.031905822,-2.5870256,1.4327201,-2.1082885,-1
Rayan Raveloson,Auxerre,"MF,DF",0.83432287,-0.8030366,-0.56403947,2.591332,0
