player_name,equipe,positions,tsne_1,tsne_2,tsne_3,tsne_4,cluster
Angelo Fulgini,Lens,"MF,FW",-2.1600761,-2.674596,0.22015108,0.40853643,1
Louis Mouton,Saint,MF,0.291615,-0.017389724,-1.4477105,-1.4954408,1
Neal Maupay,Marseille,FW,-3.8832064,1.4911317,-0.19260094,-0.09863703,1
Aimen Moueffek,Saint,MF,-1.3146479,0.8996716,-0.6023696,-0.7504908,1
Yunis Abdelhamid,Saint,DF,4.78925,2.5387452,0.48493883,1.3128865,0
Khalil Fayad,Montpellier,"MF,FW",0.56856996,0.9544395,-1.9894497,-0.059972297,1
Soungoutou Magassa,Monaco,MF,1.1388592,-0.44109085,-1.6821773,-1.8950768,1
Mohammed Salisu,Monaco,DF,4.4106965,-0.13590118,-0.7106829,1.2575732,0
Warren Kamanzi,Toulouse,"DF,MF",-0.31225583,1.0191156,-0.67066425,0.80941635,0
Saidou Sow,Strasbourg,DF,5.0959077,1.8287691,-0.090958335,0.7202316,0
Théo Sainte-Luce,Montpellier,DF,-0.013511927,1.9339708,0.64289767,0.5813434,0
Rémy Cabella,Lille,"FW,MF",-1.7074636,-3.1474078,0.6893292,1.2685834,1
Paul Joly,Auxerre,DF,0.32852113,-0.6240569,-0.30862844,3.2575495,0
Oussama Targhalline,Le Havre,MF,1.7759494,2.368858,-0.9259091,-0.5702412,1
Edon Zhegrova,Lille,"FW,MF",-2.6770313,-2.3929253,0.4484592,-0.8802886,1
Yanis Zouaoui,Le Havre,"DF,FW",-0.57062435,-1.9346728,2.3405807,0.5176445,0
Abdukodir Khusanov,Lens,DF,4.699525,1.3186325,0.03499014,-0.44346416,1
Anthony Rouault,Rennes,DF,5.0705566,0.6792443,-0.43997392,1.1309226,0
Ado Onaiwu,Auxerre,"MF,FW",-3.5783486,1.2270015,0.39762527,-1.8481259,1
Junior Mwanga,Le Havre,MF,0.17236327,-1.125778,0.5916798,-1.5755364,1
Thiago Almada,Lyon,"MF,FW",-1.5534946,-3.5711935,-0.42745024,0.72580683,1
Sael Kumbedi,Lyon,DF,0.082467385,0.9237009,-0.61313045,0.9538699,0
Marcus Coco,Nantes,DF,-0.08602401,0.9867372,0.4581397,2.850246,0
Abakar Sylla,Strasbourg,DF,5.7689533,1.3193233,1.4399328,1.903315,0
Yael Mouanga,Montpellier,DF,4.3423386,2.1646364,0.27629188,0.7877913,0
Antoine Joujou,Le Havre,"MF,FW",-2.9848278,-1.1733686,-1.2500213,-1.7168698,1
Ibrahima Niane,Angers,FW,-5.7552104,1.2635498,-0.8972707,-1.6809213,1
Theo Bair,Auxerre,FW,-4.7460403,2.6889224,-0.5219915,-1.8089272,1
Ulisses Garcia,Marseille,DF,-0.38283017,-1.4868343,-0.9457039,1.4803953,1
Jérémy Jacquet,Rennes,DF,3.0912805,1.3012842,-1.0124019,1.1293964,0
Baptiste Santamaria,Nice,MF,1.8544377,1.2753514,-0.47965255,-1.0141085,1
Khvicha Kvaratskhelia,Paris S,FW,-3.133826,-3.389141,-0.9906539,-0.6302708,1
Wesley Saïd,Lens,FW,-3.547119,1.4821744,-0.5403974,-1.3745346,1
Ismaily,Lille,DF,1.1932528,-1.3300519,0.028357409,2.1056967,0
Romain Faivre,Brest,"MF,FW",-3.3676374,-1.3461536,-0.09610591,-0.29454008,1
Hiroki Sekine,Reims,DF,0.75876945,2.0585468,0.07592275,1.8892983,0
Goduine Koyalipou,Lens,FW,-4.616304,1.9524018,0.99901235,-0.9297845,1
Lucas Hernández,Paris S,DF,4.431924,-1.9831873,-0.8304309,1.8358456,0
Mathis Amougou,Saint,MF,0.82512987,2.172802,-0.20768921,-0.41601998,1
Mamadou Diakhon,Reims,"FW,MF",-3.626523,-1.6487904,-0.3524377,-2.23813,1
Mohamed Abdelmoneim,Nice,DF,3.787442,0.9965008,-0.869174,1.3837564,0
Koka,Le Havre,FW,-4.774545,2.5395296,-1.0875174,-0.97689396,1
Zinedine Ferhat,Angers,"FW,MF",-2.306019,-1.2143568,1.0405775,1.9564402,0
Seko Fofana,Rennes,MF,0.2522015,-1.471303,-1.5271717,0.22035193,1
