player_name,equipe,positions,age,player_id,player_country_code,umap_1,umap_2,umap_3,umap_4,umap_5,cluster
Florian Sotoca,Lens,"FW,MF",33.0,7a42d0df,FRA,8.310792,-18.4263,19.959013,4.7066936,-30.204197,1
Haris Belkebla,Angers,MF,30.0,2b1bed19,ALG,8.5713415,-16.678219,19.428427,2.531272,-29.7485,0
Gabriel Gudmundsson,Lille,DF,25.0,d5d22a58,SWE,7.6749544,-17.023388,19.382858,4.227954,-30.238607,-1
Félix Lemaréchal,Strasbourg,"MF,FW",20.0,8ca9415f,FRA,8.636017,-18.751059,19.911867,3.7227786,-30.38464,1
Pablo Rosario,Nice,"MF,DF",27.0,1a6b7ea4,DOM,9.016408,-16.884575,20.092829,3.084376,-29.64602,0
Jordan Ferri,Montpellier,MF,32.0,375622c5,FRA,7.7585225,-16.030653,19.991873,3.4212956,-29.621895,0
Benjamin Bouchouari,Saint,MF,22.0,599f9013,MAR,8.25013,-16.79062,19.377428,3.696688,-29.374329,0
Hákon Arnar Haraldsson,Lille,"MF,FW",21.0,e2ae54db,ISL,8.037007,-18.216595,20.897337,4.4530563,-30.3213,1
Jim Allevinah,Angers,FW,29.0,1956b948,GAB,9.281095,-19.25318,20.075443,4.143073,-30.76611,1
Eliesse Ben Seghir,Monaco,"MF,FW",19.0,3bd65247,MAR,7.6650705,-18.94759,20.788351,4.5298223,-30.198269,1
Aïssa Mandi,Lille,DF,32.0,fbd6378b,ALG,7.624181,-15.452407,20.02979,3.16598,-28.755625,0
Ousmane Dembélé,Paris S,FW,27.0,b19db005,FRA,7.9016323,-19.085073,21.109203,4.3241186,-30.190887,1
Désiré Doué,Paris S,"FW,MF",19.0,9e7483ff,FRA,7.458657,-18.945456,20.489887,4.3532467,-29.836884,1
Marquinhos,Paris S,DF,30.0,d5f2f82b,BRA,7.1759715,-15.808222,20.331482,2.8969667,-28.469103,0
Abdoulaye Niakhate Ndiaye,Brest,DF,22.0,b8cd2ae4,SEN,7.8642187,-15.362527,18.69268,1.9241003,-28.729998,0
Joseph Okumu,Reims,DF,27.0,039f1983,KEN,7.3246093,-14.797715,19.606907,2.8221004,-28.371593,0
Marshall Munetsi,Reims,MF,28.0,2acf0cd7,ZIM,9.575111,-18.785816,20.086021,3.0461192,-31.026327,1
Rabby Nzingoula,Montpellier,MF,18.0,627c7a3d,FRA,8.739664,-17.341522,19.483309,2.5324087,-30.448177,0
Hans Hateboer,Rennes,DF,30.0,3b333ac3,NED,7.294466,-15.999617,19.621141,3.3101006,-29.164913,0
Massadio Haïdara,Brest,DF,31.0,5167c97e,MLI,7.5531855,-16.31637,18.977165,3.3594751,-30.832314,-1
Nuno Mendes,Paris S,DF,22.0,f20e4cc9,POR,6.748869,-17.390633,20.873827,3.7002935,-29.241117,0
Joshua King,Toulouse,"FW,MF",32.0,43458538,NOR,9.189739,-19.343996,20.345066,3.2844443,-31.31829,1
Lee Kang-in,Paris S,"FW,MF",23.0,8455ad90,KOR,7.2795863,-18.114635,20.957071,4.328882,-30.014595,1
Gabriel Osho,Auxerre,DF,25.0,cd889153,NGA,8.419887,-15.064592,19.068708,2.2893155,-28.661793,0
Esteban Lepaul,Angers,FW,24.0,85ce1949,FRA,9.872033,-18.852394,20.34747,3.4224772,-30.83844,1
Oumar Diakité,Reims,FW,20.0,44435c8f,CIV,9.655703,-19.332182,20.031225,3.7620833,-30.622114,1
Mohamed Ali Cho,Nice,"FW,MF",20.0,f8405304,FRA,8.711068,-19.441832,20.672155,4.5198007,-30.817877,1
Quentin Merlin,Marseille,DF,22.0,0bfca6a1,FRA,7.082376,-18.066044,20.36882,4.5048738,-30.093588,1
Malick Fofana,Lyon,FW,19.0,8236f673,BEL,8.096034,-19.394411,20.124788,4.213614,-30.453497,1
Neil El Aynaoui,Lens,MF,23.0,17e1261b,MAR,8.234958,-17.080078,20.46279,3.8016257,-30.188898,-1
Duje Ćaleta-Car,Lyon,DF,27.0,94f8d10c,CRO,7.6249113,-15.21895,19.238398,2.352987,-28.066177,0
Mathias Pereira Lage,Brest,"FW,MF",27.0,8846a40f,POR,7.814432,-18.124311,20.443712,3.9001603,-31.421553,1
Valentin Rongier,Marseille,"MF,DF",29.0,ed45c4a5,FRA,6.8198338,-16.576393,20.56582,3.08614,-28.680132,0
Jordan Veretout,Lyon,MF,31.0,4a56052c,FRA,7.8862066,-16.850605,20.390116,3.7849476,-29.302753,0
Pierre Lees-Melou,Brest,MF,31.0,f5044e54,FRA,7.388203,-16.776735,20.827084,3.2526448,-29.393497,0
Yassin Belkhdim,Angers,MF,22.0,e21d1928,FRA,8.845598,-16.798841,19.093845,2.6487591,-30.309998,0
Frank Magri,Toulouse,"FW,MF",24.0,42fdb11d,CMR,9.879888,-19.581167,20.179867,3.1323211,-30.632359,1
Nathan Zeze,Nantes,DF,19.0,fb4c5b6e,FRA,8.152148,-14.988997,19.51081,2.425262,-29.0213,0
Abdoulaye Bamba,Angers,DF,34.0,7fecbcdb,CIV,8.605719,-15.238287,19.28532,2.6792433,-29.590527,0
Christian Mawissa,Monaco,DF,19.0,2c70d915,FRA,7.7842054,-15.934821,19.782503,2.296598,-29.09656,0
Tanguy Coulibaly,Montpellier,"FW,MF",23.0,05ba9d7c,FRA,9.210784,-18.769464,19.851496,3.899186,-31.339634,1
M'Bala Nzola,Lens,FW,27.0,a4948e67,ANG,9.329042,-19.68905,20.169937,3.0030355,-30.879395,1
Kévin Danois,Auxerre,MF,20.0,e76f6fbe,FRA,7.982861,-17.657019,20.116497,3.1083188,-29.439884,0
Christopher Wooh,Rennes,DF,22.0,b003239d,CMR,7.4954233,-15.165164,19.271414,1.9897695,-29.099277,0
