player_name,equipe,positions,age,player_id,player_country_code,UMAP_1,UMAP_2
Tom Louchet,Nice,"DF,MF",21.0,f999e9be,FRA,22.921524,5.414935
Sekou Mara,Strasbourg,"FW,MF",22.0,3544641e,FRA,26.3506,8.012208
Maxime Bernauer,Saint,DF,26.0,43750e5d,FRA,20.982613,2.9567828
Boubakar Kouyaté,Montpellier,DF,27.0,562a4799,MLI,22.106153,1.4878043
Teddy Teuma,Reims,MF,30.0,5c26ca51,MLT,23.140427,6.4955425
Angel Gomes,Lille,MF,23.0,645a3363,ENG,23.768911,6.9471116
Saïd Benrahma,Lyon,"FW,MF",28.0,5a04fd92,ALG,23.850716,8.617658
Augustine Boakye,Saint,"FW,MF",23.0,59e9edb5,GHA,25.269775,7.9514556
Mathieu Cafaro,Saint,"MF,FW",27.0,2a657da0,FRA,25.226171,7.2426047
Rayan Raveloson,Auxerre,"MF,DF",27.0,fb3236a7,MAD,24.085672,4.4546266
George Ilenikhena,Monaco,FW,17.0,78c3ad07,NGA,25.775866,9.618836
Lucas Mincarelli,Montpellier,DF,20.0,02b3733e,FRA,24.630915,2.937903
Jacques Ekomie,Angers,"DF,FW",20.0,8d5016e6,GAB,25.199553,3.9990993
Mikayil Ngor Faye,Rennes,DF,20.0,b37ae816,SEN,21.054873,3.327904
Abdulai Juma Bah,Lens,DF,18.0,7b505397,SLE,21.880106,2.2304082
Pol Lirola,Marseille,DF,26.0,ff800ed8,ESP,20.26106,2.2033799
Assane Dioussé,Auxerre,MF,26.0,7f622eef,SEN,23.809052,4.5959764
Glen Kamara,Rennes,MF,28.0,4da9191b,FIN,23.91412,4.963761
Emmanuel Sabbi,Le Havre,"FW,MF",26.0,2e1b7c83,USA,25.956871,7.7000074
Ismaël Bennacer,Marseille,MF,26.0,db092d3b,ALG,21.340408,5.6221414
Chuba Akpom,Lille,FW,28.0,e2b384d2,ENG,25.950144,9.558269
Luck Zogbé,Brest,DF,19.0,3725b44f,CIV,23.42915,3.7655683
Rémy Labeau Lascary,Lens,"FW,MF",21.0,c90f380c,GLP,24.899458,8.50649
Yaya Kader Fofana,Reims,"MF,FW",20.0,cedc53d2,MLI,24.707352,6.8921943
Rasmus Nicolaisen,Toulouse,DF,27.0,3f319bb9,DEN,20.370852,2.060446
Marco Asensio,Paris S,"FW,MF",28.0,45af8a54,ESP,24.331604,9.277325
Folarin Balogun,Monaco,FW,23.0,31822f8c,USA,25.65478,9.139793
Andy Delort,Montpellier,FW,32.0,d33c706e,ALG,26.424685,8.658442
Jhoanner Chávez,Lens,"DF,MF",22.0,649b57e9,ECU,23.723797,6.6220093
Fodé Ballo-Touré,Le Havre,"DF,MF",27.0,f449640d,SEN,24.437454,3.05062
Nampalys Mendy,Lens,MF,32.0,1598599e,SEN,24.70299,5.236924
Mahamadou Diawara,Le Havre,MF,19.0,1906b842,FRA,24.599976,5.029905
Nikola Maksimović,Montpellier,DF,32.0,16b9d5cf,SRB,21.660236,2.0406857
Pierre Cornud,Saint,DF,27.0,edeb21ff,FRA,24.211205,2.7216318
Florian Ayé,Auxerre,FW,27.0,718b8afd,FRA,26.657154,8.285292
Elye Wahi,Marseille,FW,21.0,0d7b6576,FRA,25.384975,9.55359
Maxence Caqueret,Lyon,MF,24.0,f81ef10d,FRA,23.97786,5.366599
Jordan Teze,Monaco,DF,24.0,82e9b1bb,NED,22.82172,5.377692
Daler Kuzyaev,Le Havre,MF,31.0,d4e93bab,RUS,24.934006,3.2963872
John Joe,Reims,MF,20.0,fd01216a,IRL,25.423151,4.7015333
Mohamed Meité,Rennes,FW,16.0,424cbbb3,FRA,26.241585,9.12087
Andrew Omobamidele,Strasbourg,DF,22.0,c393a6c4,IRL,20.618137,3.0688179
Jean-Kevin Duverne,Nantes,DF,27.0,0cbc8baa,HAI,23.546474,3.5861251
Bamba Dieng,Angers,FW,24.0,40774c6b,SEN,26.1461,9.1459875
Ben Old,Saint,"FW,MF",21.0,e14e818c,NZL,25.55486,7.223649
Amine Harit,Marseille,MF,27.0,e7d59f4f,MAR,23.37126,8.405262
Tino Kadewere,Nantes,"MF,FW",28.0,7d08063d,ZIM,25.250479,6.5731926
Krépin Diatta,Monaco,"DF,FW",25.0,8104e41e,SEN,23.167875,4.9038706
