UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,player_name,equipe,positions,age,player_id,player_country_code
12.031576,8.906568,5.633676,3.5983818,7.6245465,Gabriel Osho,Auxerre,DF,25.0,cd889153,NGA
14.793043,13.78387,6.79357,5.187094,8.412943,Esteban Lepaul,Angers,FW,24.0,85ce1949,FRA
15.387875,13.8301525,6.5251446,5.453462,8.01556,Oumar Diakité,Reims,FW,20.0,44435c8f,CIV
15.95449,12.426625,5.8570476,5.7139964,7.7251544,Mohamed Ali Cho,Nice,"FW,MF",20.0,f8405304,FRA
15.36567,10.215148,6.2388415,6.018221,7.385359,Quentin Merlin,Marseille,DF,22.0,0bfca6a1,FRA
15.864512,12.235787,5.777644,5.7002473,8.367728,Malick Fofana,Lyon,FW,19.0,8236f673,BEL
15.203491,10.15851,5.565613,6.244567,7.5329685,Neil El Aynaoui,Lens,MF,23.0,17e1261b,MAR
12.431483,8.79715,5.7370067,3.8674042,7.0950108,Duje Ćaleta-Car,Lyon,DF,27.0,94f8d10c,CRO
15.630997,10.8966675,6.1769133,6.458167,7.8406167,Mathias Pereira Lage,Brest,"FW,MF",27.0,8846a40f,POR
14.642443,9.187105,5.0194163,5.8435326,6.251996,Valentin Rongier,Marseille,"MF,DF",29.0,ed45c4a5,FRA
14.147446,9.653119,5.1233435,5.348467,7.36179,Jordan Veretout,Lyon,MF,31.0,4a56052c,FRA
15.144184,9.36505,5.070152,5.4660053,6.598087,Pierre Lees-Melou,Brest,MF,31.0,f5044e54,FRA
13.523621,10.493046,4.6156983,5.831298,7.2402163,Yassin Belkhdim,Angers,MF,22.0,e21d1928,FRA
14.807342,13.988214,6.316047,5.3899317,8.182561,Frank Magri,Toulouse,"FW,MF",24.0,42fdb11d,CMR
12.3872,8.965341,5.717575,3.9830093,7.45057,Nathan Zeze,Nantes,DF,19.0,fb4c5b6e,FRA
11.945827,9.372424,5.4937406,3.496704,7.770899,Abdoulaye Bamba,Angers,DF,34.0,7fecbcdb,CIV
12.837058,9.067197,5.641945,4.515143,7.1056867,Christian Mawissa,Monaco,DF,19.0,2c70d915,FRA
14.795891,12.716012,5.864569,5.7490206,8.39467,Tanguy Coulibaly,Montpellier,"FW,MF",23.0,05ba9d7c,FRA
15.342668,13.864047,6.722409,5.131076,7.97176,M'Bala Nzola,Lens,FW,27.0,a4948e67,ANG
14.424624,10.39492,4.807013,5.7536225,7.3415437,Kévin Danois,Auxerre,MF,20.0,e76f6fbe,FRA
12.636697,8.223534,6.4652047,4.184857,7.537169,Christopher Wooh,Rennes,DF,22.0,b003239d,CMR
14.2424135,13.819243,6.2022953,5.4798603,8.350566,André Ayew,Le Havre,FW,34.0,5dbefa9d,GHA
15.628133,13.143432,6.660769,5.773429,8.203718,Georges Mikautadze,Lyon,FW,23.0,4788cb6b,GEO
13.14216,8.320174,5.7362022,4.1696157,7.4911423,Derek Cornelius,Marseille,DF,26.0,577744b8,CAN
14.697222,10.536416,6.2820487,5.7631655,8.413114,Anass Zaroury,Lens,"FW,MF",23.0,07d65234,MAR
14.65859,10.857136,5.931475,5.8619576,7.535104,Ali Abdi,Nice,"DF,MF",30.0,ad7cdb35,TUN
15.336678,9.898343,6.327925,6.234225,7.0499816,Przemysław Frankowski,Lens,DF,29.0,00a8d210,POL
12.82252,9.268171,5.681975,4.202049,7.6843395,Malang Sarr,Lens,DF,25.0,4315f30d,FRA
12.453354,8.312904,6.1646605,4.038715,7.445108,Julien Le Cardinal,Brest,DF,26.0,547a72ad,FRA
12.15905,9.514779,5.6129727,3.7423735,7.896593,Emmanuel Biumla,Angers,DF,19.0,e5a94f46,FRA
14.318607,11.004869,5.068012,5.327571,8.512115,Kamory Doumbia,Brest,"MF,FW",21.0,9226aa22,MLI
14.475119,10.513226,6.2358913,5.492695,8.716087,Sorba Thomas,Nantes,"FW,MF",24.0,8725a42e,WAL
13.314766,10.673081,5.892254,5.539003,8.334238,Lilian Raolisoa,Angers,"DF,FW",24.0,79a793b7,FRA
13.555778,9.982432,4.785986,5.758293,7.2256255,Amadou Koné,Reims,MF,19.0,2eb1ec07,MLI
15.79935,11.929519,5.802876,5.700482,8.161724,Osame Sahraoui,Lille,"FW,MF",23.0,6f9fa232,MAR
14.250104,9.5721445,4.8882523,5.204686,7.500747,André Gomes,Lille,MF,31.0,1961b2aa,POR
13.118542,9.07133,5.3483706,4.6115737,7.646419,Emmanuel Agbadou,Reims,DF,27.0,75f1ed80,CIV
15.214056,10.440226,6.13908,6.0128465,8.150796,Romain Del Castillo,Brest,FW,28.0,0be95d34,FRA
14.76576,13.886672,6.6138787,5.609263,8.088451,Mostafa Mohamed,Nantes,FW,26.0,595e6f3e,EGY
14.484246,9.3676,5.1985254,5.2254715,7.221994,Florian Tardieu,Saint,MF,32.0,ed39121c,FRA
12.577658,9.116943,5.4188876,3.9687793,7.2333775,Arouna Sangante,Le Havre,DF,22.0,17bb562c,SEN
14.845798,13.652033,6.5338597,5.54946,8.112738,Abdallah Sima,Brest,"FW,MF",23.0,fdbde523,SEN
13.531379,9.522505,4.8910475,5.070412,7.870449,Tanner Tessmann,Lyon,MF,22.0,ac277993,USA
12.724656,8.887993,5.7374077,4.0200233,7.517774,Lilian Brassier,Rennes,DF,24.0,5b146df3,FRA
12.157703,10.194757,5.450798,3.4755473,8.296032,Falaye Sacko,Montpellier,DF,29.0,6388e356,MLI
14.88353,13.398932,6.928042,5.4496717,8.38723,Mika Biereth,Monaco,FW,21.0,a1d95db3,DEN
12.444154,9.10444,5.702462,3.5841775,7.3774476,Leo Skiri Østigård,Rennes,DF,24.0,b35a7399,NOR
13.508188,10.375861,4.8111944,5.2164464,7.9271936,Ngal'Ayel Mukau,Lille,MF,19.0,bb461b8a,COD
14.535544,13.036325,5.956734,5.065271,8.718009,Shavy Babicka,Toulouse,"MF,FW",24.0,c6f0d5d4,GAB
14.079522,10.448239,5.5930076,5.427867,8.486947,Jordan James,Rennes,MF,20.0,f719ad7f,WAL
14.144457,10.411184,6.1826606,5.5377064,8.342374,Christopher Operi,Le Havre,"DF,FW",27.0,914bb955,CIV
14.82274,12.429658,5.6216288,5.3697276,8.907584,Arnaud Nordin,Montpellier,FW,26.0,7b9a9e25,FRA
13.127517,10.845542,5.042702,4.6597023,8.71329,Nhoa Sangui,Reims,"DF,MF",18.0,3f465a66,FRA
13.439693,10.015988,5.3628926,5.1767297,7.5809793,Valentín Barco,Strasbourg,"MF,DF",20.0,b9f282ec,ARG
13.112863,11.174185,5.3932447,4.8048496,8.181872,Issiaga Sylla,Montpellier,DF,30.0,b99bec05,GUI
14.8529825,10.849662,5.2710023,5.724113,7.6671076,Aleksandr Golovin,Monaco,"MF,FW",28.0,3708e9fa,RUS
13.406778,10.653515,4.616445,5.525584,7.5951085,Ayyoub Bouaddi,Lille,MF,16.0,8006228f,FRA
15.30514,13.789769,6.2352333,5.3300924,8.248693,Mama Samba Baldé,Brest,FW,28.0,fb14aa28,GNB
14.282099,10.902886,6.307404,5.6790614,8.59157,Mitchel Bakker,Lille,"FW,DF",24.0,a8567629,NED
13.730243,11.729862,4.988656,5.0410795,8.527427,Tanguy Ndombele,Nice,MF,27.0,5cdddffa,FRA
12.466994,9.569394,5.287332,4.432878,8.468866,Mory Gbane,Reims,"DF,MF",23.0,ab8b392c,CIV
14.550745,10.014186,6.2987905,5.9393077,7.304483,Ruben Aguilar,Lens,"DF,MF",31.0,3dd738a1,FRA
13.7141905,9.741082,4.7726912,5.2454505,7.7878695,Djaoui Cissé,Rennes,MF,20.0,576ca93f,FRA
