tsne_1,tsne_2,tsne_3,tsne_4,player_name,equipe,positions
0.96506786,-0.5752133,2.1413531,-2.138542,Emmanuel Biumla,Angers,DF
0.83738756,-0.8737438,-2.415135,-1.4098967,Kamory Doumbia,Brest,"MF,FW"
1.4320024,1.4672415,-1.8394842,-0.25829417,Sorba Thomas,Nantes,"FW,MF"
-1.4204843,-2.2493129,1.2936474,0.14898762,Lilian Raolisoa,Angers,"DF,FW"
-1.4708366,-1.4521365,-0.1379539,-1.2133026,Amadou Koné,Reims,MF
0.35226098,0.25563264,-2.0682898,2.0886974,Osame Sahraoui,Lille,"FW,MF"
-0.543033,0.32310647,-0.92753315,-1.5105755,André Gomes,Lille,MF
-0.50752187,0.39233842,0.18581608,-2.6004062,Emmanuel Agbadou,Reims,DF
0.5631982,1.7764564,-2.0419028,0.07185009,Romain Del Castillo,Brest,FW
1.2075478,-1.6209158,0.10114816,3.5906184,Mostafa Mohamed,Nantes,FW
-0.37748903,0.7307071,-1.0856144,-1.6571532,Florian Tardieu,Saint,MF
-0.43464327,-0.5101758,1.8598063,-2.501944,Arouna Sangante,Le Havre,DF
1.3412147,-1.5254203,-0.19149381,3.4154904,Abdallah Sima,Brest,"FW,MF"
-0.22403914,-0.48482957,-0.53068596,-1.7314327,Tanner Tessmann,Lyon,MF
-0.09707819,0.16531,1.3128566,-2.7451692,Lilian Brassier,Rennes,DF
1.1651238,-2.490529,2.540853,-1.8821583,Falaye Sacko,Montpellier,DF
2.2031732,-0.29793134,0.20405307,3.877752,Mika Biereth,Monaco,FW
-0.21707965,-0.42881837,1.8506644,-2.570182,Leo Skiri Østigård,Rennes,DF
-0.28384855,-1.0798484,-0.4053929,-0.85185695,Ngal'Ayel Mukau,Lille,MF
1.32284,-1.0286304,-0.56037545,2.288529,Shavy Babicka,Toulouse,"MF,FW"
0.20051812,-0.37805888,-1.0286077,-0.59205407,Jordan James,Rennes,MF
1.7101537,1.6350127,-1.690252,-0.6670008,Christopher Operi,Le Havre,"DF,FW"
1.3524687,-0.9664919,-1.1953461,1.7563434,Arnaud Nordin,Montpellier,FW
0.6242164,-1.7521685,-0.18406978,-0.6428177,Nhoa Sangui,Reims,"DF,MF"
-0.71751785,-0.6928756,0.17909144,-0.81339705,Valentín Barco,Strasbourg,"MF,DF"
-0.005090607,-0.7296713,1.4180897,0.26405218,Issiaga Sylla,Montpellier,DF
-0.43746415,0.1440725,-1.4053062,0.35646945,Aleksandr Golovin,Monaco,"MF,FW"
-0.5028565,-1.4009621,-0.5009093,-0.5379609,Ayyoub Bouaddi,Lille,MF
1.2275348,-1.3607634,-0.6564856,3.345739,Mama Samba Baldé,Brest,FW
1.2178434,0.77381957,-1.8430687,0.39361858,Mitchel Bakker,Lille,"FW,DF"
0.47952092,-1.035523,-0.4991117,0.9451614,Tanguy Ndombele,Nice,MF
0.95055705,-0.9552513,0.6127541,-2.1001203,Mory Gbane,Reims,"DF,MF"
-0.66908664,0.8162158,0.069894865,0.14882445,Ruben Aguilar,Lens,"DF,MF"
-0.30094102,-0.64135325,-0.66369617,-1.4744654,Djaoui Cissé,Rennes,MF
1.8800118,-0.13278764,-1.9791255,0.16679083,Wahbi Khazri,Montpellier,"FW,MF"
1.5679582,-0.81994283,-1.8583083,2.4241736,Musa Al-Taamari,Montpellier,"FW,MF"
0.3118504,-1.0447785,0.6960515,0.1205855,Timothee Pembele,Le Havre,DF
0.7473516,-1.0351326,1.0029792,-1.4040642,Jaydee Canvot,Toulouse,"DF,MF"
1.4692404,-1.0194799,0.2481735,-2.1069167,Edimilson Fernandes,Brest,"MF,DF"
1.4474535,-0.034579437,-1.6145383,1.8071147,Badredine Bouanani,Nice,"MF,FW"
-0.022111788,-0.28465074,0.16688342,-0.342947,Abner,Lyon,DF
-0.03363797,-0.14096238,1.6216351,-2.7403362,Kevin Danso,Lens,DF
3.1952534,-1.2710999,1.1613545,3.095092,Akor Adams,Montpellier,FW
2.3113472,-0.2871001,0.28980345,3.8592281,Gonçalo Ramos,Paris S,FW
1.8133099,0.18338144,-0.790772,1.9968033,Matias Fernandez-Pardo,Lille,"FW,MF"
0.72227275,0.22195937,-2.269554,0.7852585,Sofiane Diop,Nice,"MF,FW"
2.3170753,-1.0526685,-0.5694102,1.9331864,Irvin Cardona,Saint,FW
0.8594006,-0.12830922,0.5454823,-0.008313215,Rassoul Ndiaye,Le Havre,MF
1.7037987,-0.4910275,-1.9355216,1.90949,Jeremie Boga,Nice,"MF,FW"
1.2523053,-0.91635203,-1.2886701,1.6865246,Ernest Nuamah,Lyon,"FW,MF"
3.1719973,-0.29360843,-1.3698863,2.3104267,Amine Gouiri,Marseille,"FW,MF"
2.0961556,-2.820782,0.18451893,-1.1722097,Han-Noah Massengo,Auxerre,MF
0.938016,0.51135325,-1.6932298,0.70750517,Angelo Fulgini,Lens,"MF,FW"
-0.44849053,-0.8772278,-0.76906174,-0.45560804,Louis Mouton,Saint,MF
1.4046829,-2.8206716,0.3792698,1.6942143,Neal Maupay,Marseille,FW
0.9805886,-1.3117789,0.107638426,0.28266957,Aimen Moueffek,Saint,MF
0.6327408,-0.8608568,2.8847313,-2.1964407,Yunis Abdelhamid,Saint,DF
-0.007648913,-1.9959441,-0.5179378,-1.3899342,Khalil Fayad,Montpellier,"MF,FW"
-0.96317357,-1.2166445,-0.4480513,-0.93354344,Soungoutou Magassa,Monaco,MF
-0.11812555,-0.505481,1.7979739,-2.4582193,Mohammed Salisu,Monaco,DF
0.37319314,-1.2015512,0.49529603,0.6188931,Warren Kamanzi,Toulouse,"DF,MF"
0.9825991,-0.8296251,2.0463526,-2.1972966,Saidou Sow,Strasbourg,DF
0.9375325,-1.3301042,1.2694924,0.1437411,Théo Sainte-Luce,Montpellier,DF
0.773908,1.3838712,-1.5771879,0.87732416,Rémy Cabella,Lille,"FW,MF"
-1.4006016,-1.0998172,0.6827219,-0.33812702,Paul Joly,Auxerre,DF
1.609653,-0.9191447,-0.3842097,-1.2111194,Oussama Targhalline,Le Havre,MF
2.2077103,-0.12027055,-1.5883217,1.1770241,Edon Zhegrova,Lille,"FW,MF"
1.7196883,1.5480543,-1.7250854,-0.68452585,Yanis Zouaoui,Le Havre,"DF,FW"
1.6434436,-0.685008,1.0329572,-2.4958909,Abdukodir Khusanov,Lens,DF
0.49564728,-0.7420716,2.0053167,-2.374659,Anthony Rouault,Rennes,DF
1.5131946,-2.009976,0.10428433,2.4028594,Ado Onaiwu,Auxerre,"MF,FW"
1.6147432,0.102595985,0.14793918,-1.2491434,Junior Mwanga,Le Havre,MF
1.746366,0.87906426,-0.838072,0.2921358,Thiago Almada,Lyon,"MF,FW"
0.73908365,-1.1261984,0.5077244,-0.3517753,Sael Kumbedi,Lyon,DF
-0.6010779,-2.2665555,1.2259951,-0.49334058,Marcus Coco,Nantes,DF
-0.25520903,-1.1880276,1.5214264,-3.6174405,Abakar Sylla,Strasbourg,DF
